Province,Region,Year,Birthrate,Education_Fund
Sichuan,Southwest China,2007,9.21,5009787
Guizhou,Southwest China,2007,13.28,2070113
Yunnan,Southwest China,2007,13.08,2757505
Tibet,Southwest China,2007,16.4,420562
Shaanxi,Northwest China,2007,10.21,2855270
Gansu,Northwest China,2007,13.14,1672565
Qinghai,Northwest China,2007,14.93,458238
Ningxia,Northwest China,2007,14.8,636974
Xinjiang,Northwest China,2007,16.79,1916673
Beijing,North China,2006,6.26,3374329
Tianjin,North China,2006,7.67,1428992
Hebei,North China,2006,12.82,3554401
Shanxi,North China,2006,11.48,2198470
Inner Mongolia,North China,2006,9.87,1480999
Liaoning,Northeast China,2006,6.4,3282283
Jilin,Northeast China,2006,7.67,1724213
Heilongjiang,Northeast China,2006,7.57,2230540
Shanghai,East China,2006,7.47,3707275
Jiangsu,East China,2006,9.36,6845888
Zhejiang,East China,2006,10.29,6315051
Anhui,East China,2006,12.6,2775700
Fujian,East China,2006,12,2771266
Jiangxi,East China,2006,13.8,2213618
Shandong,East China,2006,11.6,5471049
Henan,South Central China,2006,11.59,4179475
Hubei,South Central China,2006,9.08,2904962
Hunan,South Central China,2006,11.92,3338525
Guangdong,South Central China,2006,11.78,8654359
Guangxi,South Central China,2006,14.44,2134365
Hainan,South Central China,2006,14.59,558645
Chongqing,Southwest China,2006,9.9,1681572
Sichuan,Southwest China,2006,9.14,3654194
Guizhou,Southwest China,2006,13.97,1549737
Yunnan,Southwest China,2006,13.2,2311083
Tibet,Southwest China,2006,17.4,276921
Shaanxi,Northwest China,2006,10.19,2288723
Gansu,Northwest China,2006,12.86,1321480
Qinghai,Northwest China,2006,15.24,373988
Ningxia,Northwest China,2006,15.53,398718
Xinjiang,Northwest China,2006,15.79,1532703
Beijing,North China,2005,6.29,5227188
Tianjin,North China,2005,7.44,1479873
Hebei,North China,2005,12.84,3249421
Shanxi,North China,2005,12.02,1891253
Inner Mongolia,North China,2005,10.08,1293432
Liaoning,Northeast China,2005,7.01,3164488
Jilin,Northeast China,2005,7.89,1742325
Heilongjiang,Northeast China,2005,7.87,2342133
Shanghai,East China,2005,7.04,4229482
Jiangsu,East China,2005,9.24,6653202
Zhejiang,East China,2005,11.1,5684275
Anhui,East China,2005,12.43,2524901
Fujian,East China,2005,11.6,2505241
Jiangxi,East China,2005,13.79,1889654
Shandong,East China,2005,12.14,4988243
Henan,South Central China,2005,11.55,3579528
Hubei,South Central China,2005,8.74,3392273
Hunan,South Central China,2005,11.9,3234353
Guangdong,South Central China,2005,11.7,8066357
Guangxi,South Central China,2005,14.26,1832798
Hainan,South Central China,2005,14.65,468455
Chongqing,Southwest China,2005,9.4,1731033
Sichuan,Southwest China,2005,9.7,3632254
Guizhou,Southwest China,2005,14.59,1394867
Yunnan,Southwest China,2005,14.72,1985088
Tibet,Southwest China,2005,17.94,301722
Shaanxi,Northwest China,2005,10.02,2331533
Gansu,Northwest China,2005,12.59,1195074
Qinghai,Northwest China,2005,15.7,287259
Ningxia,Northwest China,2005,15.93,363459
Xinjiang,Northwest China,2005,16.42,1527225
Beijing,North China,2004,6.1,4492628
Tianjin,North China,2004,7.31,1239682
Hebei,North China,2004,11.98,2700904
Shanxi,North China,2004,12.36,1548848
Inner Mongolia,North China,2004,9.53,1115216
Liaoning,Northeast China,2004,6.51,2700789
Jilin,Northeast China,2004,7.39,1454419
Heilongjiang,Northeast China,2004,7.27,2118831
Shanghai,East China,2004,6,3832691
Jiangsu,East China,2004,9.45,5570009
Zhejiang,East China,2004,10.71,5001700
Anhui,East China,2004,11.62,2216291
Fujian,East China,2004,11.58,2224559
Jiangxi,East China,2004,13.61,1566029
Shandong,East China,2004,12.5,4267089
Henan,South Central China,2004,11.67,2999489
Hubei,South Central China,2004,8.43,2985502
Hunan,South Central China,2004,11.89,2724014
Guangdong,South Central China,2004,13.13,7087101
Guangxi,South Central China,2004,13.32,1605769
Hainan,South Central China,2004,14.77,389305
Chongqing,Southwest China,2004,9.45,1434395
Sichuan,Southwest China,2004,9.05,3091287
Guizhou,Southwest China,2004,15.08,1142162
Yunnan,Southwest China,2004,15.6,1750841
Tibet,Southwest China,2004,17.4,234500
Shaanxi,Northwest China,2004,10.59,2047443
Gansu,Northwest China,2004,12.43,1031445
Qinghai,Northwest China,2004,16.32,225275
Ningxia,Northwest China,2004,15.97,296237
Xinjiang,Northwest China,2004,16,1331540
Beijing,North China,2003,5.1,3928774
Tianjin,North China,2003,7.14,1118577
Hebei,North China,2003,11.43,2320028
Shanxi,North China,2003,12.26,1304752
Inner Mongolia,North China,2003,9.24,935815
Liaoning,Northeast China,2003,6.9,2256444
Jilin,Northeast China,2003,7.25,1329891
Heilongjiang,Northeast China,2003,7.48,1882420
Shanghai,East China,2003,4.85,3070202
Jiangsu,East China,2003,9.04,4653850
Zhejiang,East China,2003,9.66,4115764
Anhui,East China,2003,11.15,1834930
Fujian,East China,2003,11.43,1965773
Jiangxi,East China,2003,14.07,1349865
Shandong,East China,2003,11.42,3740855
Henan,South Central China,2003,12.1,2544932
Hubei,South Central China,2003,8.26,2527725
Hunan,South Central China,2003,11.82,2354583
Guangdong,South Central China,2003,13.66,6222727
Guangxi,South Central China,2003,13.86,1437796
Hainan,South Central China,2003,14.68,329190
Chongqing,Southwest China,2003,9.89,1207818
Sichuan,Southwest China,2003,9.18,2662491
Guizhou,Southwest China,2003,15.91,954018
Yunnan,Southwest China,2003,17,1448460
Tibet,Southwest China,2003,17.4,187467
Shaanxi,Northwest China,2003,10.67,1859411
Gansu,Northwest China,2003,12.58,914336
Qinghai,Northwest China,2003,16.94,199568
Ningxia,Northwest China,2003,15.68,244762
Xinjiang,Northwest China,2003,16.01,1179433
Beijing,North China,2002,6.6,3538686
Tianjin,North China,2002,7.49,975730
Hebei,North China,2002,11.53,2101072
Shanxi,North China,2002,12.86,1176900
Inner Mongolia,North China,2002,9.6,854998
Liaoning,Northeast China,2002,7.38,1943995
Jilin,Northeast China,2002,8.3,1226407
Heilongjiang,Northeast China,2002,7.98,1587805
Shanghai,East China,2002,5.41,2739674
Jiangsu,East China,2002,9.17,4044278
Zhejiang,East China,2002,9.98,3396099
Anhui,East China,2002,11.2,1640473
Fujian,East China,2002,11.35,1779257
Jiangxi,East China,2002,14.74,1169816
Shandong,East China,2002,11.17,3338764
Henan,South Central China,2002,12.41,2288399
Hubei,South Central China,2002,8.38,2301981
Hunan,South Central China,2002,11.56,2104948
Guangdong,South Central China,2002,13.29,5203412
Guangxi,South Central China,2002,13.3,1346031
Hainan,South Central China,2002,15.2,297250
Chongqing,Southwest China,2002,9.36,1066535
Sichuan,Southwest China,2002,10.44,2437437
Guizhou,Southwest China,2002,17.96,867638
Yunnan,Southwest China,2002,17.9,1295046
Tibet,Southwest China,2002,18.83,141178
Shaanxi,Northwest China,2002,10.48,1597679
Gansu,Northwest China,2002,13.16,836405
Qinghai,Northwest China,2002,18.05,190401
Ningxia,Northwest China,2002,16.42,229623
Xinjiang,Northwest China,2002,16.3,1082359
Beijing,North China,2001,6.1,3192212
Tianjin,North China,2001,7.58,859241
Hebei,North China,2001,11.16,1779336
Shanxi,North China,2001,13.06,978975
Inner Mongolia,North China,2001,10.77,719313
Liaoning,Northeast China,2001,7.74,1703899
Jilin,Northeast China,2001,8.76,1051756
Heilongjiang,Northeast China,2001,8.48,1426565
Shanghai,East China,2001,5.02,2320452
Jiangsu,East China,2001,9.03,3370588
Zhejiang,East China,2001,10.02,2829570
Anhui,East China,2001,12.46,1342105
Fujian,East China,2001,11.56,1451136
Jiangxi,East China,2001,15.44,987385
Shandong,East China,2001,11.12,2880702
Henan,South Central China,2001,13.2,1959174
Hubei,South Central China,2001,8.51,1990721
Hunan,South Central China,2001,11.8,1771612
Guangdong,South Central China,2001,13.95,4213487
Guangxi,South Central China,2001,13.8,1123494
Hainan,South Central China,2001,15.23,256623
Chongqing,Southwest China,2001,9.7,867752
Sichuan,Southwest China,2001,11.16,2028690
Guizhou,Southwest China,2001,18.56,672764
Yunnan,Southwest China,2001,18.51,1157532
Tibet,Southwest China,2001,18.6,103045
Shaanxi,Northwest China,2001,10.5,1354171
Gansu,Northwest China,2001,13.58,686750
Qinghai,Northwest China,2001,19.06,164562
Ningxia,Northwest China,2001,16.55,195102
Xinjiang,Northwest China,2001,16.82,937914
