Province,Year,Birthrate,Healthcare
Guangdong,2003,13.66,13213
Guangxi,2003,13.86,6610
Hainan,2003,14.68,19470
Chongqing,2003,9.89,3730
Sichuan,2003,9.18,16756
Guizhou,2003,15.91,13178
Yunnan,2003,17,3006
Tibet,2003,17.4,5166
Shaanxi,2003,10.67,14369
Gansu,2003,12.58,8037
Qinghai,2003,16.94,9559
Ningxia,2003,15.68,8990
Xinjiang,2003,16.01,9618
Beijing,2002,6.6,4998
Tianjin,2002,7.49,2641
Hebei,2002,11.53,18701
Shanxi,2002,12.86,9603
Inner Mongolia,2002,9.6,6574
Liaoning,2002,7.38,13162
Jilin,2002,8.3,7556
Heilongjiang,2002,7.98,8755
Shanghai,2002,5.41,2308
Jiangsu,2002,9.17,12367
Zhejiang,2002,9.98,10708
Anhui,2002,11.2,8827
Fujian,2002,11.35,16941
Jiangxi,2002,14.74,11286
Shandong,2002,11.17,16571
Henan,2002,12.41,13291
Hubei,2002,8.38,10192
Hunan,2002,11.56,15149
Guangdong,2002,13.29,15501
Guangxi,2002,13.3,10107
Hainan,2002,15.2,2840
Chongqing,2002,9.36,5948
Sichuan,2002,10.44,28204
Guizhou,2002,17.96,7022
Yunnan,2002,17.9,8798
Tibet,2002,18.83,1348
Shaanxi,2002,10.48,12462
Gansu,2002,13.16,11062
Qinghai,2002,18.05,1450
Ningxia,2002,16.42,1370
Xinjiang,2002,16.3,10296
Beijing,2001,6.1,5969
Tianjin,2001,7.58,2803
Hebei,2001,11.16,20116
Shanxi,2001,13.06,16293
Inner Mongolia,2001,10.77,8559
Liaoning,2001,7.74,13237
Jilin,2001,8.76,7417
Heilongjiang,2001,8.48,7944
Shanghai,2001,5.02,4536
Jiangsu,2001,9.03,13208
Zhejiang,2001,10.02,16536
Anhui,2001,12.46,7038
Fujian,2001,11.56,9765
Jiangxi,2001,15.44,7581
Shandong,2001,11.12,17348
Henan,2001,13.2,10719
Hubei,2001,8.51,10941
Hunan,2001,11.8,28421
Guangdong,2001,13.95,14167
Guangxi,2001,13.8,13363
Hainan,2001,15.23,2685
Chongqing,2001,9.7,9096
Sichuan,2001,11.16,33412
Guizhou,2001,18.56,8791
Yunnan,2001,18.51,12552
Tibet,2001,18.6,1284
Shaanxi,2001,10.5,11365
Gansu,2001,13.58,7225
Qinghai,2001,19.06,1437
Ningxia,2001,16.55,1261
Xinjiang,2001,16.82,5279
