Province,Region,Year,Birthrate
Tianjin,North China,2011,8.58
Hebei,North China,2011,13.02
Shanxi,North China,2011,10.47
Inner Mongolia,North China,2011,8.94
Liaoning,Northeast China,2011,5.71
Jilin,Northeast China,2011,6.53
Heilongjiang,Northeast China,2011,6.99
Shanghai,East China,2011,6.97
Jiangsu,East China,2011,9.59
Zhejiang,East China,2011,9.47
Anhui,East China,2011,12.23
Fujian,East China,2011,11.41
Jiangxi,East China,2011,13.48
Shandong,East China,2011,11.5
Henan,South Central China,2011,11.56
Hubei,South Central China,2011,10.39
Hunan,South Central China,2011,13.35
Guangdong,South Central China,2011,10.45
Guangxi,South Central China,2011,13.71
Hainan,South Central China,2011,14.72
Chongqing,Southwest China,2011,9.88
Sichuan,Southwest China,2011,9.79
Guizhou,Southwest China,2011,13.31
Yunnan,Southwest China,2011,12.71
Tibet,Southwest China,2011,15.39
Shaanxi,Northwest China,2011,9.75
Gansu,Northwest China,2011,12.08
Qinghai,Northwest China,2011,14.43
Ningxia,Northwest China,2011,13.65
Xinjiang,Northwest China,2011,14.99
Beijing,North China,2010,7.48
Tianjin,North China,2010,8.18
Hebei,North China,2010,13.22
Shanxi,North China,2010,10.68
Inner Mongolia,North China,2010,9.3
Liaoning,Northeast China,2010,6.68
Jilin,Northeast China,2010,7.91
Heilongjiang,Northeast China,2010,7.35
Shanghai,East China,2010,7.05
Jiangsu,East China,2010,9.73
Zhejiang,East China,2010,10.27
Anhui,East China,2010,12.7
Fujian,East China,2010,11.27
Jiangxi,East China,2010,13.72
Shandong,East China,2010,11.65
Henan,South Central China,2010,11.52
Hubei,South Central China,2010,10.36
Hunan,South Central China,2010,13.1
Guangdong,South Central China,2010,11.18
Guangxi,South Central China,2010,14.13
Hainan,South Central China,2010,14.71
Chongqing,Southwest China,2010,9.17
Sichuan,Southwest China,2010,8.93
Guizhou,Southwest China,2010,13.96
Yunnan,Southwest China,2010,13.1
Tibet,Southwest China,2010,15.8
Shaanxi,Northwest China,2010,9.73
Gansu,Northwest China,2010,12.05
Qinghai,Northwest China,2010,14.94
Ningxia,Northwest China,2010,14.14
Xinjiang,Northwest China,2010,15.99
Beijing,North China,2009,8.06
Tianjin,North China,2009,8.3
Hebei,North China,2009,12.93
Shanxi,North China,2009,10.87
Inner Mongolia,North China,2009,9.57
Liaoning,Northeast China,2009,6.06
Jilin,Northeast China,2009,6.69
Heilongjiang,Northeast China,2009,7.48
Shanghai,East China,2009,8.64
Jiangsu,East China,2009,9.55
Zhejiang,East China,2009,10.22
Anhui,East China,2009,13.07
Fujian,East China,2009,12.2
Jiangxi,East China,2009,13.87
