Province,Region,Year,Birthrate,Wage,GRP,CPI
Liaoning,Northeast China,2014,6.49,49110,105.7,101.7
Jilin,Northeast China,2014,6.62,47683,106.3,102
Heilongjiang,Northeast China,2014,7.37,46036,105.3,101.5
Shanghai,East China,2014,8.35,100623,107.1,102.7
Jiangsu,East China,2014,9.45,61783,108.6,102.2
Zhejiang,East China,2014,10.51,62460,107.7,102.1
Anhui,East China,2014,12.86,52388,109.2,101.6
Fujian,East China,2014,13.7,54235,109.9,102
Jiangxi,East China,2014,13.24,47299,109.7,102.3
Shandong,East China,2014,14.23,52460,108.5,101.9
Henan,South Central China,2014,12.8,42670,108.9,101.9
Hubei,South Central China,2014,11.86,50637,109.7,102
Hunan,South Central China,2014,13.52,48525,109.5,101.9
Guangdong,South Central China,2014,10.8,59827,107.8,102.3
Guangxi,South Central China,2014,14.07,46846,108.3,102.1
Hainan,South Central China,2014,14.56,50589,108.6,102.4
Chongqing,Southwest China,2014,10.67,56852,110.9,101.8
Sichuan,Southwest China,2014,10.22,53722,108.5,101.6
Guizhou,Southwest China,2014,12.98,54685,110.8,102.4
Yunnan,Southwest China,2014,12.65,47802,108.1,102.4
Tibet,Southwest China,2014,15.76,68059,110.8,102.9
Shaanxi,Northwest China,2014,10.13,52119,109.6,101.6
Gansu,Northwest China,2014,12.21,48470,109,102.1
Qinghai,Northwest China,2014,14.67,57804,109.2,102.8
Ningxia,Northwest China,2014,13.1,56811,108,101.9
Xinjiang,Northwest China,2014,16.44,54407,110,102.1
Beijing,North China,2013,8.93,93997,107.7,103.3
Tianjin,North China,2013,8.28,68864,110.1,103.1
Hebei,North China,2013,13.04,42532,108.2,103
Shanxi,North China,2013,10.81,47417,109,103.1
Inner Mongolia,North China,2013,8.98,51388,108.7,103.2
Liaoning,Northeast China,2013,6.09,46310,108.7,102.4
Jilin,Northeast China,2013,5.36,43821,108.5,102.9
Heilongjiang,Northeast China,2013,6.86,42744,107.6,102.2
Shanghai,East China,2013,8.18,91477,107.9,102.3
Jiangsu,East China,2013,9.44,57984,109.7,102.3
Zhejiang,East China,2013,10.01,57310,108.3,102.3
Anhui,East China,2013,12.88,48929,110.3,102.4
Fujian,East China,2013,12.2,49328,111,102.5
Jiangxi,East China,2013,13.19,43582,110.1,102.5
Shandong,East China,2013,11.41,47652,109.4,102.2
Henan,South Central China,2013,12.27,38804,109,102.9
Hubei,South Central China,2013,11.08,44613,110.2,102.8
Hunan,South Central China,2013,13.5,43893,110.1,102.5
Guangdong,South Central China,2013,10.71,53611,108.5,102.5
Guangxi,South Central China,2013,14.28,42637,110,102.2
Hainan,South Central China,2013,14.59,45573,109.6,102.8
Chongqing,Southwest China,2013,10.37,51015,112.3,102.7
Sichuan,Southwest China,2013,9.9,49019,110,102.8
Guizhou,Southwest China,2013,13.05,49087,112.4,102.5
Yunnan,Southwest China,2013,12.6,44188,112.2,103.1
Tibet,Southwest China,2013,15.77,64409,112.1,103.6
Shaanxi,Northwest China,2013,10.01,48853,110.5,103
Gansu,Northwest China,2013,12.16,44109,111.3,103.2
Qinghai,Northwest China,2013,14.16,52105,110.8,103.9
Ningxia,Northwest China,2013,13.12,52185,109.8,103.4
Xinjiang,Northwest China,2013,15.84,49843,111,103.9
Beijing,North China,2012,9.05,85306,107.7,103.3
Tianjin,North China,2012,8.75,65398,111.3,102.7
Hebei,North China,2012,12.88,39542,108.7,102.6
Shanxi,North China,2012,10.7,44943,109.2,102.5
Inner Mongolia,North China,2012,9.17,47053,110.7,103.1
Liaoning,Northeast China,2012,6.15,42503,108.9,102.8
Jilin,Northeast China,2012,5.73,39092,108.9,102.5
Heilongjiang,Northeast China,2012,7.3,38598,108.7,103.2
Shanghai,East China,2012,9.56,80191,107.5,102.8
Jiangsu,East China,2012,9.44,51279,110.2,102.6
Zhejiang,East China,2012,10.12,50813,108.1,102.2
Anhui,East China,2012,13,46091,111.2,102.3
Fujian,East China,2012,12.74,44979,111.5,102.4
Jiangxi,East China,2012,13.46,39651,111,102.7
Shandong,East China,2012,11.9,42572,109.7,102.1
Henan,South Central China,2012,11.87,37958,110.1,102.5
Hubei,South Central China,2012,11,40884,111.2,102.9
Hunan,South Central China,2012,13.58,40028,111.4,102
Guangdong,South Central China,2012,11.6,50577,108.3,102.8
Guangxi,South Central China,2012,14.2,37614,110.1,103.2
Hainan,South Central China,2012,14.66,40051,109.4,103.2
Chongqing,Southwest China,2012,10.86,45392,113.6,102.6
Sichuan,Southwest China,2012,9.89,43110,111.7,102.5
Guizhou,Southwest China,2012,13.27,42733,113,102.7
Yunnan,Southwest China,2012,12.63,38908,112,102.7
Tibet,Southwest China,2012,15.48,58347,111.8,103.5
Shaanxi,Northwest China,2012,10.12,44330,112.2,102.8
Gansu,Northwest China,2012,12.11,38440,111.8,102.7
Qinghai,Northwest China,2012,14.3,46827,111.2,103.1
Ningxia,Northwest China,2012,13.26,48961,110.5,102
Xinjiang,Northwest China,2012,15.32,45243,111,103.8
Beijing,North China,2011,8.29,75835,108.1,105.6
Tianjin,North China,2011,8.58,55636,113.4,104.9
Hebei,North China,2011,13.02,35973,110.3,105.7
Shanxi,North China,2011,10.47,39903,110,105.2
Inner Mongolia,North China,2011,8.94,41481,113.6,105.6
Liaoning,Northeast China,2011,5.71,38713,110.2,105.2
Jilin,Northeast China,2011,6.53,34197,110.5,105.2
Heilongjiang,Northeast China,2011,6.99,33503,110.9,105.8
Shanghai,East China,2011,6.97,77031,108.3,105.2
Jiangsu,East China,2011,9.59,45987,111,105.3
